CA,CP,EI,ER,TS
bachelors of science in software engineering,chartered professional accountant (cpa),Ragav,experience in reservoir engineering,Ragav
bachelors degree in communications,certified management accountant (cma),Ragav,experience in regulatory application,Ragav
bachelor of science in engineering,chartered financial accountant (cfa),Ragav,experience with project management,Ragav
bachelors degree in accounting,canadian institute of chartered accountants (cica),Ragav,experience with designing and monitoring waterfloods,Ragav
bachelors degree in finance,certified general accountant (cga),Ragav,experience evaluating waterfloods,Ragav
masters degree in accounting,chartered accountant (ca),Ragav,experience with economics to assess reserves and contingent resources,Ragav
masters degree in finance,canadian association of petroleum production accounting (cappa) certificate,Ragav,experience with recommending processes and operating parameters to maximize efficiency,Ragav
diploma in finance,professional engineering certificate,Ragav,experience with recommending equipment to maximize efficiency,Ragav
bachelors degree in logistics,4th class power engineering certificate,Ragav,experience in interpretation and trending of data to troubleshoot process issues,Ragav
bachelors degree in law,3rd class power engineering certificate,Ragav,"experience with collaborating, communicating and influencing internal and external stakeholders",Ragav
diploma in finance,project management professional (pmp),Ragav,experience in the application of regulatory standards,Ragav
bachelors degree in marketing,journeyman electrical certificate,Ragav,experience in plant engineering,Ragav
bachelors degree in communications,journeyman instrumentation or technologist certificate,Ragav,project management experience,Ragav
bachelor of science in engineering,certified engineering technologist (cet),Ragav,project management experience,Ragav
diploma in accounting,certified engineering technologist/technician,Ragav,"progressive experience in a large, public company",Ragav
diploma in business,interprovincial electrical certification,Ragav,progressive leadership experience,Ragav
bachelors degree in science,"production field operations (pfo) levels a, b, c and d",Ragav,construction leadership experience,Ragav
bachelors degree in engineering,Ragav,Ragav,progressive experience working in a talent acquisition function,Ragav
masters degree iin science,Ragav,Ragav,progressive experience in a human resources analytics function,Ragav
masters defree in engineering,Ragav,Ragav,progressive experience in a payroll and benefits function,Ragav
highschool diploma or equivalent,Ragav,Ragav,progressive experience in a diversity and inclusion function,Ragav
2nd class power engineering certificate,Ragav,Ragav,experience in a human resources administration and/or data processing function,Ragav
bachelor’s degree in science,Ragav,Ragav,progressive experience in a workforce analytics and planning function,Ragav
1st class power engineering certificate,Ragav,Ragav,progressive experience in a human resources advisory or business partner function,Ragav
certified maintenance and reliability professional (cmrp),Ragav,Ragav,progressive experience working with an integrated human resources and payroll system,Ragav
maintenance management professional (mmp),Ragav,Ragav,progressive experience working with an integrated talent management suite,Ragav
Ragav,Ragav,Ragav,progressive experience working in a human resources strategy function,Ragav
Ragav,Ragav,Ragav,experience working in a human resources generalist function,Ragav
Ragav,Ragav,Ragav,experience working in a unionized manufacturing environment,Ragav
Ragav,Ragav,Ragav,experience in web development,Ragav
Ragav,Ragav,Ragav,progressive leadership experience,Ragav
Ragav,Ragav,Ragav,experience managing assorted development teams,Ragav
Ragav,Ragav,Ragav,experience in application support roles,Ragav
Ragav,Ragav,Ragav,development experience,Ragav
Ragav,Ragav,Ragav,progressive experience in front-end design and implementation,Ragav
Ragav,Ragav,Ragav,progressive experience in an analytical function,Ragav
Ragav,Ragav,Ragav,experience in an agile work environment,Ragav
Ragav,Ragav,Ragav,experience as a database administrator,Ragav
Ragav,Ragav,Ragav,progressive experience as a solution architect,Ragav
Ragav,Ragav,Ragav,progressive experience as an enterprise architect,Ragav
Ragav,Ragav,Ragav,experience as a test automater,Ragav
Ragav,Ragav,Ragav,experience preparing and communicating project and work schedules,Ragav
Ragav,Ragav,Ragav,experience in a supervisory function,Ragav
Ragav,Ragav,Ragav,leadership experience,Ragav
Ragav,Ragav,Ragav,progressive experience in maintenance planning,Ragav
Ragav,Ragav,Ragav,experience in an operations function within a manufacturing plant environment,Ragav
Ragav,Ragav,Ragav,experience in a process operating function in an industrial setting,Ragav
Ragav,Ragav,Ragav,experience in a maintenance function,Ragav
Ragav,Ragav,Ragav,experience in arriba implementations,Ragav
Ragav,Ragav,Ragav,experience working in a pipeline systems ground disturbance function,Ragav
Ragav,Ragav,Ragav,"experience working on a floating production, storage and offloading vessel",Ragav
Ragav,Ragav,Ragav,progressive experience in a maintenance planning function,Ragav
Ragav,Ragav,Ragav,progressive experience in a maintenance planning function,Ragav
Ragav,Ragav,Ragav,progressive experience in spend management,Ragav
Ragav,Ragav,Ragav,leadership experience,Ragav
Ragav,Ragav,Ragav,progressive experience in maintenance planning,Ragav
Ragav,Ragav,Ragav,experience in an operations function within a manufacturing plant environment,Ragav
Ragav,Ragav,Ragav,experience in a process operating function in an industrial setting,Ragav
Ragav,Ragav,Ragav,experience in a maintenance function,Ragav
Ragav,Ragav,Ragav,progressive experience in a heavy industrial environment,Ragav
Ragav,Ragav,Ragav,experience working in a pipeline systems ground disturbance function,Ragav
Ragav,Ragav,Ragav,"experience working on a floating production, storage and offloading vessel",Ragav
Ragav,Ragav,Ragav,progressive experience in a maintenance planning function,Ragav
Ragav,Ragav,Ragav,experience in a laboratory setting,Ragav
Ragav,Ragav,Ragav,progressive experience in a maintenance function - specializing in equipment isolation in preparation for maintenance,Ragav
Ragav,Ragav,Ragav,progressive experience in a 'safe work' permitting/hazard analysis function,Ragav
